ticker,year,revenue_cr,ebitda_cr,net_debt_cr,interest_expense_cr,fcf_cr,promoter_holding_pct,promoter_pledge_pct
AARTIIND.NS,FY23,6492.2,1027.8,2708.5,106.3,-7.6,,
AARTIIND.NS,FY24,6191.7,965.0,3101.7,191.5,-118.5,,
AARTIIND.NS,FY25,7269.0,1016.0,3553.2,275.0,1242.0,,
AARTIIND.NS,FY26,8286.0,1179.0,4299.0,340.0,781.0,,
ALKYLAMINE.NS,FY23,1656.9,356.5,70.6,2.7,-55.0,,
ALKYLAMINE.NS,FY24,1419.0,265.2,-27.2,3.8,152.5,,
ALKYLAMINE.NS,FY25,1548.2,320.4,-197.3,0.6,215.4,,
ALKYLAMINE.NS,FY26,1511.9,315.8,-249.7,0.7,110.1,,
BAJAJELEC.NS,FY23,4867.8,418.9,-308.3,42.8,368.2,,
BAJAJELEC.NS,FY24,4622.3,342.4,-89.3,59.7,222.6,,
BAJAJELEC.NS,FY25,4815.9,383.6,-264.8,69.8,292.9,,
BAJAJELEC.NS,FY26,4448.3,108.7,-497.5,56.2,532.5,,
BALAMINES.NS,FY23,2331.6,620.7,-250.9,8.3,233.8,,
BALAMINES.NS,FY24,1608.3,350.9,-310.9,4.0,68.5,,
BALAMINES.NS,FY25,1397.1,265.4,-339.2,3.7,48.5,,
BALAMINES.NS,FY26,1425.0,294.2,-138.3,5.4,-355.9,,
BSOFT.NS,FY23,4794.8,543.3,-943.8,18.6,503.2,,
BSOFT.NS,FY24,5278.1,939.7,-1360.9,19.9,692.0,,
BSOFT.NS,FY25,5375.2,806.0,-1746.4,23.4,538.9,,
BSOFT.NS,FY26,5310.0,890.2,-2318.6,19.6,436.6,,
CAPLIPOINT.NS,FY23,1453.8,497.1,-689.2,0.8,77.9,,
CAPLIPOINT.NS,FY24,1679.5,618.6,-781.8,0.8,172.6,,
CAPLIPOINT.NS,FY25,1937.5,743.4,-955.1,0.6,240.8,,
CAPLIPOINT.NS,FY26,2187.2,876.4,-1076.3,0.9,275.1,,
CARBORUNIV.NS,FY23,4601.0,790.3,-174.4,23.1,128.4,,
CARBORUNIV.NS,FY24,4628.2,858.4,-433.7,17.4,366.2,,
CARBORUNIV.NS,FY25,4833.5,693.9,-217.5,14.0,26.6,,
CARBORUNIV.NS,FY26,5149.4,547.2,-306.0,18.8,57.0,,
CENTURYPLY.NS,FY23,3632.2,600.1,66.6,10.8,-52.8,,
CENTURYPLY.NS,FY24,3862.7,565.3,703.9,25.6,-598.4,,
CENTURYPLY.NS,FY25,4527.8,483.5,1515.8,69.0,-668.1,,
CENTURYPLY.NS,FY26,5397.2,653.0,1664.6,113.5,45.3,,
CERA.NS,FY23,1800.4,323.2,-603.0,5.7,123.0,,
CERA.NS,FY24,1866.5,361.1,-758.4,5.7,171.3,,
CERA.NS,FY25,1915.3,351.7,-633.4,7.1,87.6,,
CERA.NS,FY26,2050.1,314.2,-805.1,6.5,190.6,,
CRAFTSMAN.NS,FY23,3164.8,678.9,1212.9,102.5,262.4,,
CRAFTSMAN.NS,FY24,4420.5,889.5,1690.7,170.3,-117.7,,
CRAFTSMAN.NS,FY25,5644.9,823.3,2260.0,206.2,-708.3,,
CRAFTSMAN.NS,FY26,8004.4,1270.0,3477.9,293.4,-666.7,,
CYIENT.NS,FY23,6015.9,1037.8,427.3,100.0,486.4,,
CYIENT.NS,FY24,7147.2,1301.1,-186.0,116.0,640.8,,
CYIENT.NS,FY25,7360.4,1235.0,-954.3,92.8,686.0,,
CYIENT.NS,FY26,7268.2,983.5,-1266.8,60.8,689.5,,
DEVYANI.NS,FY23,2972.8,665.1,1480.7,144.4,199.7,,
DEVYANI.NS,FY24,3531.7,575.4,2715.0,186.9,114.0,,
DEVYANI.NS,FY25,4951.1,847.5,3006.2,264.8,409.3,,
DEVYANI.NS,FY26,5611.5,872.8,3277.4,275.7,460.2,,
ELGIEQUIP.NS,FY23,3022.0,607.9,5.6,19.8,96.9,,
ELGIEQUIP.NS,FY24,3202.4,546.3,-136.9,29.3,236.0,,
ELGIEQUIP.NS,FY25,3510.4,588.1,-334.1,30.5,296.1,,
ELGIEQUIP.NS,FY26,3950.7,688.6,-417.2,25.4,299.1,,
ERIS.NS,FY23,1661.8,547.9,790.8,26.2,-549.7,,
ERIS.NS,FY24,1991.3,698.6,1442.5,84.8,356.9,,
ERIS.NS,FY25,2879.3,1035.6,2272.6,231.3,910.0,,
ERIS.NS,FY26,3114.9,1110.7,2282.2,192.7,241.1,,
FINEORG.NS,FY23,3028.9,891.3,-494.2,2.5,404.2,,
FINEORG.NS,FY24,2122.5,601.6,-1044.3,0.9,548.1,,
FINEORG.NS,FY25,2269.1,609.6,-947.0,2.2,76.4,,
FINEORG.NS,FY26,2365.8,603.5,-1384.5,4.1,287.6,,
GABRIEL.NS,FY23,2949.6,231.1,-287.2,4.6,47.7,,
GABRIEL.NS,FY24,3376.5,312.0,-228.0,8.2,13.8,,
GABRIEL.NS,FY25,4063.4,415.6,-176.0,10.2,-4.8,,
GABRIEL.NS,FY26,4666.9,450.4,-202.8,14.2,105.5,,
GALAXYSURF.NS,FY23,4429.0,574.6,80.8,18.4,426.9,,
GALAXYSURF.NS,FY24,3764.7,495.0,-250.7,19.7,360.2,,
GALAXYSURF.NS,FY25,4223.7,510.0,-290.2,19.2,201.8,,
GALAXYSURF.NS,FY26,5248.3,485.5,-519.7,30.9,195.7,,
GRANULES.NS,FY23,4496.3,907.1,844.7,35.4,328.1,,
GRANULES.NS,FY24,4490.2,826.3,934.0,71.8,58.8,,
GRANULES.NS,FY25,4456.0,988.9,986.0,103.2,294.9,,
GRANULES.NS,FY26,5338.9,1195.5,558.5,114.4,235.0,,
GREENLAM.NS,FY23,1973.8,250.8,370.2,23.4,-297.1,,
GREENLAM.NS,FY24,2247.3,316.3,929.1,44.3,-441.7,,
GREENLAM.NS,FY25,2569.3,285.6,1100.3,65.5,-57.2,,
GREENLAM.NS,FY26,3046.1,327.0,1043.2,96.2,201.1,,
GREENPANEL.NS,FY23,1778.6,431.4,-150.1,8.5,256.8,,
GREENPANEL.NS,FY24,1563.9,263.5,58.6,7.2,-212.9,,
GREENPANEL.NS,FY25,1435.8,147.5,187.3,0.4,-114.4,,
GREENPANEL.NS,FY26,1539.4,76.7,95.4,19.2,70.6,,
GRINDWELL.NS,FY23,2525.2,553.8,-523.3,7.8,71.0,,
GRINDWELL.NS,FY24,2668.6,587.0,-583.8,7.8,195.6,,
GRINDWELL.NS,FY25,2798.9,594.0,-810.0,9.3,364.4,,
GRINDWELL.NS,FY26,3060.4,668.6,-1125.2,8.2,423.2,,
INDIAMART.NS,FY23,985.4,410.5,-2289.2,8.2,458.6,,
INDIAMART.NS,FY24,1196.8,499.8,-2292.9,8.9,544.5,,
INDIAMART.NS,FY25,1388.3,746.2,-2851.7,7.4,615.4,,
INDIAMART.NS,FY26,1569.0,679.4,-3097.2,3.0,687.2,,
INTELLECT.NS,FY23,2231.3,488.0,-89.2,3.2,8.5,,
INTELLECT.NS,FY24,2506.4,601.0,-262.1,2.6,237.2,,
INTELLECT.NS,FY25,2500.0,604.3,-433.8,4.2,259.5,,
INTELLECT.NS,FY26,3038.2,675.3,-1517.8,6.3,291.0,,
JAMNAAUTO.NS,FY23,2271.9,273.2,-20.8,2.8,285.3,,
JAMNAAUTO.NS,FY24,2371.8,332.1,96.4,4.6,-73.5,,
JAMNAAUTO.NS,FY25,2270.1,307.5,-0.1,4.6,92.6,,
JAMNAAUTO.NS,FY26,2611.6,393.5,-97.5,13.2,253.7,,
JKPAPER.NS,FY23,6409.7,2107.9,1938.5,179.5,1538.1,,
JKPAPER.NS,FY24,6594.9,1818.1,1163.3,183.3,1135.6,,
JKPAPER.NS,FY25,6662.5,1026.3,1423.2,177.7,392.0,,
JKPAPER.NS,FY26,7076.0,966.8,1784.1,225.3,269.6,,
JUSTDIAL.NS,FY23,844.8,227.7,-3998.4,7.7,128.8,,
JUSTDIAL.NS,FY24,1042.9,521.9,-4540.1,9.3,244.5,,
JUSTDIAL.NS,FY25,1141.9,721.9,-5178.8,10.5,305.3,,
JUSTDIAL.NS,FY26,1213.9,670.3,-5780.1,9.1,264.5,,
KAJARIACER.NS,FY23,4371.5,616.7,85.9,21.4,63.9,,
KAJARIACER.NS,FY24,4464.2,748.9,-72.0,14.4,297.4,,
KAJARIACER.NS,FY25,4635.1,669.7,-168.6,20.0,280.5,,
KAJARIACER.NS,FY26,4830.4,874.8,-530.0,22.6,536.3,,
KIRLOSENG.NS,FY23,4968.3,745.4,2402.8,191.8,-1081.8,,
KIRLOSENG.NS,FY24,5841.2,1018.8,3195.8,304.8,-863.9,,
KIRLOSENG.NS,FY25,6329.1,1270.8,4332.7,482.4,-1047.7,,
KIRLOSENG.NS,FY26,7701.0,1453.3,3757.3,522.8,592.4,,
KSB.NS,FY22,1808.3,296.7,-155.5,6.1,-68.7,,
KSB.NS,FY23,2231.7,335.3,-176.8,5.3,48.2,,
KSB.NS,FY24,2520.1,387.7,-271.4,2.7,86.6,,
KSB.NS,FY25,2679.6,421.8,-267.9,3.0,-0.9,,
MASTEK.NS,FY23,2558.2,519.1,140.4,24.4,76.2,,
MASTEK.NS,FY24,3049.2,518.7,59.8,42.6,388.9,,
MASTEK.NS,FY25,3455.2,576.3,-39.0,42.1,376.3,,
MASTEK.NS,FY26,3698.8,625.9,-517.3,32.0,513.7,,
NATCOPHARM.NS,FY23,2696.9,1035.2,-948.7,9.5,643.5,,
NATCOPHARM.NS,FY24,3978.8,1872.3,-1404.8,12.0,852.9,,
NATCOPHARM.NS,FY25,4429.5,2550.5,-2528.2,23.9,1185.2,,
NATCOPHARM.NS,FY26,4078.3,1734.1,-2157.0,36.7,1377.2,,
RATNAMANI.NS,FY23,4461.2,798.2,41.4,21.3,168.6,,
RATNAMANI.NS,FY24,5027.5,955.9,-139.1,45.1,298.2,,
RATNAMANI.NS,FY25,5186.5,883.1,-245.9,37.4,207.1,,
RATNAMANI.NS,FY26,4494.0,869.3,-679.9,31.3,450.8,,
RELAXO.NS,FY23,2764.1,354.2,-101.8,19.1,214.9,,
RELAXO.NS,FY24,2893.6,435.4,35.8,18.7,-14.3,,
RELAXO.NS,FY25,2789.6,409.0,-101.5,20.7,290.2,,
RELAXO.NS,FY26,2702.2,420.2,4.2,21.5,211.1,,
SONATSOFTW.NS,FY23,7446.8,673.8,-339.6,17.4,227.3,,
SONATSOFTW.NS,FY24,8610.0,677.3,-372.3,84.0,255.2,,
SONATSOFTW.NS,FY25,10157.2,760.4,-191.3,65.2,575.8,,
SONATSOFTW.NS,FY26,10701.2,782.9,88.7,51.4,424.4,,
SUMICHEM.NS,FY23,3473.3,709.9,-274.5,3.9,269.5,,
SUMICHEM.NS,FY24,2817.8,568.7,-860.8,3.6,693.4,,
SUMICHEM.NS,FY25,3148.5,752.2,-1207.5,5.9,422.0,,
SUMICHEM.NS,FY26,3238.3,801.5,-1288.0,7.8,401.3,,
SUNDRMFAST.NS,FY23,5490.1,892.3,644.0,33.7,230.4,,
SUNDRMFAST.NS,FY24,5493.2,940.1,608.9,31.2,189.2,,
SUNDRMFAST.NS,FY25,5775.8,972.0,772.4,33.0,27.6,,
SUNDRMFAST.NS,FY26,6103.2,1062.2,524.8,38.1,465.0,,
SUPRAJIT.NS,FY23,2748.4,348.1,170.6,32.4,147.2,,
SUPRAJIT.NS,FY24,2891.8,382.5,79.3,50.9,158.0,,
SUPRAJIT.NS,FY25,3277.0,379.6,416.5,60.4,73.7,,
SUPRAJIT.NS,FY26,3824.8,504.6,645.9,63.5,53.0,,
