ticker,price,market_cap_cr,shares_outstanding
AARTIIND.NS,496.70001220703125,18012.729284865614,362648054
ALKYLAMINE.NS,1788.300048828125,9146.091068886817,51144052
BAJAJELEC.NS,323.0,3727.1864387,115392769
BALAMINES.NS,2076.5,6728.06765,32401000
BSOFT.NS,324.25,9062.3428884,279486288
CAPLIPOINT.NS,2377.800048828125,18074.06144603086,76011696
CARBORUNIV.NS,1065.5,20297.0826381,190493502
CENTURYPLY.NS,751.9500122070312,16706.298254257264,222172990
CERA.NS,6208.0,8003.952672,12892965
CRAFTSMAN.NS,9326.0,22247.7167058,23855583
CYIENT.NS,907.6500244140625,10027.24894078396,110474838
DEVYANI.NS,114.18000030517578,14077.706571264338,1232939791
ELGIEQUIP.NS,601.2999877929688,18955.469687323744,315241478
ERIS.NS,1376.5,19073.7827884,138567256
FINEORG.NS,5037.7998046875,15445.882110452343,30659976
GABRIEL.NS,1136.4000244140625,20140.420246410486,177230023
GALAXYSURF.NS,1796.0,6568.8328228,36574793
GRANULES.NS,748.3499755859375,18543.881978062047,247796921
GREENLAM.NS,259.010009765625,6608.580878669678,255147702
GREENPANEL.NS,192.1999969482422,2356.898494477089,122627395
GRINDWELL.NS,2047.300048828125,22667.706140625,110720000
INDIAMART.NS,2084.10009765625,12533.497884251563,60138656
INTELLECT.NS,759.5999755859375,10563.631450517663,139068349
JAMNAAUTO.NS,128.5,5137.25825975,399786635
JKPAPER.NS,357.04998779296875,6473.98649721861,181318771
JUSTDIAL.NS,543.7999877929688,4624.966256340381,85049032
KAJARIACER.NS,1139.0999755859375,18142.706165051637,159272290
KIRLOSENG.NS,1918.5,27891.1422564,145379944
KSB.NS,865.4500122070312,15062.22450735022,174039220
MASTEK.NS,1663.800048828125,5157.910260531005,31000782
NATCOPHARM.NS,851.5,15251.2054305,179109870
RATNAMANI.NS,2598.699951171875,18214.807697753906,70092000
RELAXO.NS,350.8500061035156,8734.010441750055,248938586
SONATSOFTW.NS,311.25,8615.227847625,276794469
SUMICHEM.NS,473.25,23622.0719562,499145736
SUNDRMFAST.NS,856.2000122070312,17991.19138152436,210128371
SUPRAJIT.NS,461.8500061035156,6335.249507917624,137171147
SYMPHONY.NS,672.2999877929688,4616.778138172607,68671400
TANLA.NS,529.75,7001.895877275,132173589
TEAMLEASE.NS,1410.5999755859375,2364.7393911520994,16764068
TRITURBINE.NS,662.25,21052.594984275,317894979
TTKPRESTIG.NS,541.1500244140625,7411.102833512989,136950984
VGUARD.NS,305.75,13355.2766742,436803816
VIPIND.NS,323.6499938964844,4597.507909088434,142051846
WESTLIFE.NS,459.75,7136.04465795,155215762
ZENSARTECH.NS,464.20001220703125,10524.082585490973,226714397
