ticker,company_name,sector
CYIENT.NS,Cyient,IT Services
BSOFT.NS,Birlasoft,IT Services
ZENSARTECH.NS,Zensar Technologies,IT Services
SONATSOFTW.NS,Sonata Software,IT Services
MASTEK.NS,Mastek,IT Services
INTELLECT.NS,Intellect Design Arena,IT Products
TANLA.NS,Tanla Platforms,Communications Platform
INDIAMART.NS,IndiaMART InterMESH,Internet Marketplace
JUSTDIAL.NS,Just Dial,Internet Services
TEAMLEASE.NS,TeamLease Services,Staffing
SUPRAJIT.NS,Suprajit Engineering,Auto Ancillaries
SUNDRMFAST.NS,Sundram Fasteners,Auto Ancillaries
CRAFTSMAN.NS,Craftsman Automation,Auto Ancillaries
JAMNAAUTO.NS,Jamna Auto Industries,Auto Ancillaries
GABRIEL.NS,Gabriel India,Auto Ancillaries
VGUARD.NS,V-Guard Industries,Consumer Durables
SYMPHONY.NS,Symphony,Consumer Durables
TTKPRESTIG.NS,TTK Prestige,Consumer Durables
BAJAJELEC.NS,Bajaj Electricals,Consumer Durables
KAJARIACER.NS,Kajaria Ceramics,Building Materials
CERA.NS,Cera Sanitaryware,Building Materials
CENTURYPLY.NS,Century Plyboards,Building Materials
GREENPANEL.NS,Greenpanel Industries,Building Materials
GREENLAM.NS,Greenlam Industries,Building Materials
RATNAMANI.NS,Ratnamani Metals & Tubes,Steel Pipes
AARTIIND.NS,Aarti Industries,Specialty Chemicals
GALAXYSURF.NS,Galaxy Surfactants,Specialty Chemicals
FINEORG.NS,Fine Organic Industries,Specialty Chemicals
ALKYLAMINE.NS,Alkyl Amines Chemicals,Specialty Chemicals
BALAMINES.NS,Balaji Amines,Specialty Chemicals
SUMICHEM.NS,Sumitomo Chemical India,Agrochemicals
NATCOPHARM.NS,Natco Pharma,Pharmaceuticals
GRANULES.NS,Granules India,Pharmaceuticals
ERIS.NS,Eris Lifesciences,Pharmaceuticals
CAPLIPOINT.NS,Caplin Point Laboratories,Pharmaceuticals
ELGIEQUIP.NS,Elgi Equipments,Industrial Machinery
TRITURBINE.NS,Triveni Turbine,Industrial Machinery
KSB.NS,KSB,Industrial Machinery
GRINDWELL.NS,Grindwell Norton,Abrasives
CARBORUNIV.NS,Carborundum Universal,Abrasives
KIRLOSENG.NS,Kirloskar Oil Engines,Industrial Machinery
WESTLIFE.NS,Westlife Foodworld,Quick Service Restaurants
DEVYANI.NS,Devyani International,Quick Service Restaurants
RELAXO.NS,Relaxo Footwears,Footwear
VIPIND.NS,VIP Industries,Luggage
JKPAPER.NS,JK Paper,Paper
